inchikey,smi_pre,smi_post,lambda_sTDA (nm),f1_sTDA,lumo_dft,homo_dft,dmom_dft (D),lambda_z (nm),f1_z,lumo_z,homo_z,dmom_z (D),lumo_mopac,homo_mopac,dmom_mopac (D),lambda_tddft (nm),f1_tddft,lambda_exp_max (nm),epsilon_exp_max ,lambda_exp_min (nm),epsilon_exp_min ,solvent
GHQIBYFHLQADPG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN(c1ccc(cc1)C(=c1c(F)c(F)c(=C(C#N)C#N)c(c1F)F)C(=C(C#N)C#N)c1ccc(s1)C=O)CCCCCCCCCCCCCCCC,CN(c1ccc(cc1)C(=c1c(F)c(F)c(=C(C#N)C#N)c(c1F)F)C(=C(C#N)C#N)c1ccc(s1)C=O)C,517.3,1.365103317,-2.962,-7.8896,14.09365,443.11722089172144,0.632924328,-2.8879,-8.5574,318.18530,-3.009,-8.843,9.71073,599.9138385311824,0.9152829124,848.0,NaN,342.0,NaN,CH 2 Cl
FWZBVDAMNNIMRN-UHFFFAOYSA-N,Fc1c(c2nnc(o2)c2ccc(cc2)C2=Cc3c(C2)cccc3)c(F)c(c(c1F)F)F,Fc1c(c2nnc(o2)c2ccc(cc2)C2=Cc3c(C2)cccc3)c(F)c(c(c1F)F)F,328.7,1.575171939,-0.507,-7.8961,3.64193,403.0695656875932,1.018104099,-1.8259,-7.744,671.03248,-2.065,-8.937,4.45203,337.84079405226146,1.4607060997,349,NaN,349,NaN,NaN
YXIWHUQXZSMYRE-UHFFFAOYSA-N,S=c1sc2c([nH]1)cccc2,S=c1sc2c([nH]1)cccc2,304.5,0.00020903,0.5024,-8.0548,5.07175,434.2703972171757,6.056e-05,-0.6649,-8.6732,138.50570,-1.24,-8.454,5.08337,NaN,NaN,328.0,6200,328.0,6200,NaN
BNNAQDVOKXHDDA-UHFFFAOYSA-N,O=c1cc(C)c2c(o1)cc(cc2)C=Cc1ccc(cc1)[N+](=O)[O-],O=c1cc(C)c2c(o1)cc(cc2)C=Cc1ccc(cc1)[N+](=O)[O-],330.4,1.487929191,-1.1736,-8.4612,6.57237,422.00203677843314,0.002283116,-2.5241,-8.6549,156.58486,-1.735,-9.546,7.14376,341.33797596354776,1.3427761841,352,NaN,352,NaN,NaN
RXWHMOSAJRERQB-UHFFFAOYSA-N,Clc1ccc2c(c1)nccc2n1nnc(c1C)C(=O)C=Cc1ccc(cc1)OCCCN1CCOCC1,Clc1ccc2c(c1)nccc2n1nnc(c1C)C(=O)C=Cc1ccc(cc1)OCCCN1CCOCC1,317.0,0.00623404,-0.4993,-8.0455,3.34038,374.3484251373903,0.004912433,-1.1596,-8.3191,474.39647,-1.623,-8.83,4.9858,NaN,NaN,237,NaN,237,NaN,methanol
SSPYSWLZOPCOLO-UHFFFAOYSA-N,O=c1cn[nH]c(=O)[nH]1,O=c1cn[nH]c(=O)[nH]1,268.1,0.000573297,-0.0552,-10.1345,1.73457,338.93985348688807,7.804e-06,-1.7389,-10.5572,12.16914,-1.107,-10.618,1.60954,NaN,NaN,320,NaN,320,NaN,NaN
VPMOKAWVEVNXHC-UHFFFAOYSA-N,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,365.1,0.408973628,-0.7019,-7.5525,6.69795,381.3724958643607,0.567330395,-1.4203,-7.8169,207.20387,-1.437,-7.877,6.55227,NaN,NaN,450.0,18500,313.0,18500,NaN
APIRVWKQVMPIQC-UHFFFAOYSA-N,O=Nc1ccccc1c1c(C(=O)OC(C(=O)C)C)c(C)nc(c1C(=O)O)C,O=Nc1ccccc1c1c(C(=O)OC(C(=O)C)C)c(C)nc(c1C(=O)O)C,843.4,0.001046511,-0.9946,-8.8729,7.03448,890.0516755599689,0.000379441,-2.0535,-9.2527,71.72558,-1.252,-9.585,5.20881,NaN,NaN,1960.7843137254902,NaN,437.0,NaN,NaN
HLWFMQDDSMWSOR-UHFFFAOYSA-N,CCn1c2ccc(cc2c2c1ccc(c2)C=Cc1ccc2c(c1)c1cc(ccc1n2CC)c1nc2c(s1)cccc2)c1nc2c(s1)cccc2,CCn1c2ccc(cc2c2c1ccc(c2)C=Cc1ccc2c(c1)c1cc(ccc1n2CC)c1nc2c(s1)cccc2)c1nc2c(s1)cccc2,332.3,1.253092247,0.2027,-7.0801,4.95886,344.68779095219253,0.683077895,-0.4999,-7.484,180.39789,-0.974,-8.162,3.65576,339.85963380729544,1.2000504541,362.0,NaN,360.0,NaN,Ethyl acetate
HKOOXMFOFWEVGF-UHFFFAOYSA-N,NNc1ccccc1,NNc1ccccc1,257.8,0.050753418,1.7938,-7.8391,0.60668,279.8108743071624,0.022874668,0.6833,-8.3208,27.35070,0.068,-8.719,1.49394,NaN,NaN,213,46080.0,213,46080.0,THF
